program_change channel=0 program=0 time=0 0.0
note_on channel=0 note=57 velocity=30 time=3 3.9700520833333335
note_on channel=0 note=66 velocity=27 time=8 3.98046875
control_change channel=0 control=64 value=38 time=4 3.9856770833333335
control_change channel=0 control=64 value=42 time=31 4.026041666666667
control_change channel=0 control=64 value=49 time=15 4.045572916666667
control_change channel=0 control=64 value=57 time=16 4.06640625
control_change channel=0 control=64 value=62 time=15 4.0859375
control_change channel=0 control=64 value=66 time=15 4.10546875
control_change channel=0 control=64 value=70 time=16 4.126302083333333
note_on channel=0 note=74 velocity=0 time=4 4.131510416666667
control_change channel=0 control=64 value=74 time=10 4.14453125
control_change channel=0 control=64 value=77 time=16 4.165364583333333
control_change channel=0 control=64 value=78 time=15 4.184895833333333
note_on channel=0 note=66 velocity=0 time=4 4.190104166666667
control_change channel=0 control=64 value=79 time=11 4.204427083333333
note_on channel=0 note=69 velocity=35 time=24 4.235677083333333
note_on channel=0 note=69 velocity=0 time=67 4.322916666666667
note_on channel=0 note=74 velocity=56 time=98 4.450520833333333
note_on channel=0 note=74 velocity=0 time=23 4.48046875
note_on channel=0 note=66 velocity=36 time=11 4.494791666666667
note_on channel=0 note=57 velocity=0 time=68 4.583333333333333
note_on channel=0 note=69 velocity=40 time=53 4.65234375
note_on channel=0 note=66 velocity=0 time=1 4.653645833333333
control_change channel=0 control=64 value=78 time=101 4.78515625
note_on channel=0 note=69 velocity=0 time=62 4.865885416666667
control_change channel=0 control=64 value=77 time=1 4.8671875
control_change channel=0 control=64 value=76 time=14 4.885416666666667
control_change channel=0 control=64 value=74 time=16 4.90625
note_on channel=0 note=76 velocity=66 time=6 4.9140625
control_change channel=0 control=64 value=71 time=9 4.92578125
control_change channel=0 control=64 value=67 time=16 4.946614583333333
note_on channel=0 note=76 velocity=0 time=3 4.950520833333333
note_on channel=0 note=61 velocity=32 time=2 4.953125
control_change channel=0 control=64 value=63 time=10 4.966145833333333
note_on channel=0 note=67 velocity=21 time=8 4.9765625
control_change channel=0 control=64 value=59 time=6 4.984375
note_on channel=0 note=78 velocity=68 time=0 4.984375
control_change channel=0 control=64 value=56 time=16 5.005208333333333
control_change channel=0 control=64 value=55 time=15 5.024739583333333
note_on channel=0 note=78 velocity=0 time=6 5.032552083333333
note_on channel=0 note=76 velocity=64 time=5 5.0390625
control_change channel=0 control=64 value=54 time=4 5.044270833333333
control_change channel=0 control=64 value=52 time=16 5.065104166666667
note_on channel=0 note=76 velocity=0 time=12 5.080729166666667
control_change channel=0 control=64 value=51 time=3 5.084635416666667
note_on channel=0 note=78 velocity=77 time=14 5.102864583333333
control_change channel=0 control=64 value=50 time=2 5.10546875
note_on channel=0 note=69 velocity=38 time=18 5.12890625
note_on channel=0 note=67 velocity=0 time=5 5.135416666666667
note_on channel=0 note=61 velocity=0 time=4 5.140625
note_on channel=0 note=78 velocity=0 time=2 5.143229166666667
note_on channel=0 note=76 velocity=58 time=32 5.184895833333333
note_on channel=0 note=76 velocity=0 time=26 5.21875
control_change channel=0 control=64 value=49 time=3 5.22265625
note_on channel=0 note=74 velocity=68 time=6 5.23046875
note_on channel=0 note=74 velocity=0 time=25 5.263020833333333
note_on channel=0 note=76 velocity=61 time=41 5.31640625
control_change channel=0 control=64 value=48 time=27 5.3515625
control_change channel=0 control=64 value=48 time=16 5.372395833333333
control_change channel=0 control=64 value=47 time=14 5.390625
control_change channel=0 control=64 value=45 time=15 5.41015625
note_on channel=0 note=69 velocity=0 time=3 5.4140625
control_change channel=0 control=64 value=40 time=13 5.430989583333333
control_change channel=0 control=64 value=33 time=15 5.450520833333333
note_on channel=0 note=76 velocity=0 time=0 5.450520833333333
control_change channel=0 control=64 value=26 time=16 5.471354166666667
note_on channel=0 note=78 velocity=58 time=6 5.479166666666667
note_on channel=0 note=62 velocity=35 time=2 5.481770833333333
note_on channel=0 note=66 velocity=33 time=1 5.483072916666667
control_change channel=0 control=64 value=16 time=5 5.489583333333333
control_change channel=0 control=64 value=0 time=15 5.509114583333333
note_on channel=0 note=62 velocity=0 time=267 5.856770833333333
note_on channel=0 note=66 velocity=0 time=25 5.889322916666667
note_on channel=0 note=78 velocity=0 time=37 5.9375
note_on channel=0 note=74 velocity=50 time=24 5.96875
note_on channel=0 note=69 velocity=45 time=380 6.463541666666667
note_on channel=0 note=74 velocity=0 time=11 6.477864583333333
control_change channel=0 control=64 value=17 time=55 6.549479166666667
control_change channel=0 control=64 value=34 time=16 6.5703125
control_change channel=0 control=64 value=50 time=15 6.58984375
control_change channel=0 control=64 value=59 time=15 6.609375
control_change channel=0 control=64 value=64 time=16 6.630208333333333
control_change channel=0 control=64 value=66 time=14 6.6484375
control_change channel=0 control=64 value=68 time=16 6.669270833333333
note_on channel=0 note=69 velocity=0 time=1 6.670572916666667
control_change channel=0 control=64 value=70 time=14 6.688802083333333
control_change channel=0 control=64 value=72 time=15 6.708333333333333
control_change channel=0 control=64 value=73 time=16 6.729166666666667
control_change channel=0 control=64 value=73 time=31 6.76953125
control_change channel=0 control=64 value=74 time=45 6.828125
control_change channel=0 control=64 value=73 time=60 6.90625
control_change channel=0 control=64 value=72 time=16 6.927083333333333
control_change channel=0 control=64 value=69 time=14 6.9453125
note_on channel=0 note=81 velocity=57 time=5 6.951822916666667
control_change channel=0 control=64 value=66 time=10 6.96484375
control_change channel=0 control=64 value=61 time=17 6.986979166666667
control_change channel=0 control=64 value=51 time=15 7.006510416666667
note_on channel=0 note=66 velocity=29 time=8 7.016927083333333
note_on channel=0 note=62 velocity=30 time=2 7.01953125
control_change channel=0 control=64 value=39 time=5 7.026041666666667
control_change channel=0 control=64 value=23 time=16 7.046875
control_change channel=0 control=64 value=0 time=15 7.06640625
control_change channel=0 control=64 value=10 time=45 7.125
control_change channel=0 control=64 value=35 time=15 7.14453125
control_change channel=0 control=64 value=48 time=15 7.1640625
control_change channel=0 control=64 value=58 time=16 7.184895833333333
control_change channel=0 control=64 value=63 time=15 7.204427083333333
control_change channel=0 control=64 value=65 time=15 7.223958333333333
note_on channel=0 note=66 velocity=0 time=5 7.23046875
note_on channel=0 note=69 velocity=43 time=3 7.234375
control_change channel=0 control=64 value=66 time=7 7.243489583333333
control_change channel=0 control=64 value=67 time=15 7.263020833333333
control_change channel=0 control=64 value=68 time=15 7.282552083333333
control_change channel=0 control=64 value=69 time=24 7.313802083333333
control_change channel=0 control=64 value=70 time=15 7.333333333333333
control_change channel=0 control=64 value=70 time=15 7.352864583333333
control_change channel=0 control=64 value=71 time=15 7.372395833333333
control_change channel=0 control=64 value=71 time=30 7.411458333333333
note_on channel=0 note=69 velocity=0 time=8 7.421875
control_change channel=0 control=64 value=72 time=7 7.430989583333333
control_change channel=0 control=64 value=73 time=16 7.451822916666667
note_on channel=0 note=66 velocity=45 time=12 7.467447916666667
control_change channel=0 control=64 value=74 time=3 7.471354166666667
control_change channel=0 control=64 value=75 time=15 7.490885416666667
control_change channel=0 control=64 value=76 time=15 7.510416666666667
control_change channel=0 control=64 value=77 time=15 7.529947916666667
note_on channel=0 note=66 velocity=0 time=85 7.640625
control_change channel=0 control=67 value=123 time=6 7.6484375
control_change channel=0 control=67 value=116 time=16 7.669270833333333
note_on channel=0 note=69 velocity=40 time=7 7.678385416666667
control_change channel=0 control=67 value=106 time=7 7.6875
control_change channel=0 control=67 value=96 time=16 7.708333333333333
control_change channel=0 control=67 value=86 time=15 7.727864583333333
control_change channel=0 control=67 value=77 time=15 7.747395833333333
control_change channel=0 control=67 value=72 time=16 7.768229166666667
control_change channel=0 control=67 value=70 time=15 7.787760416666667
control_change channel=0 control=67 value=70 time=15 7.807291666666667
note_on channel=0 note=69 velocity=0 time=26 7.841145833333333
control_change channel=0 control=67 value=70 time=4 7.846354166666667
control_change channel=0 control=67 value=72 time=31 7.88671875
note_on channel=0 note=81 velocity=0 time=13 7.903645833333333
control_change channel=0 control=67 value=73 time=2 7.90625
note_on channel=0 note=86 velocity=68 time=7 7.915364583333333
note_on channel=0 note=66 velocity=37 time=6 7.923177083333333
control_change channel=0 control=67 value=73 time=3 7.927083333333333
control_change channel=0 control=67 value=74 time=14 7.9453125
control_change channel=0 control=67 value=75 time=16 7.966145833333333
control_change channel=0 control=67 value=76 time=15 7.985677083333333
control_change channel=0 control=67 value=76 time=15 8.005208333333334
control_change channel=0 control=67 value=77 time=16 8.026041666666666
control_change channel=0 control=67 value=78 time=16 8.046875
control_change channel=0 control=67 value=79 time=15 8.06640625
control_change channel=0 control=67 value=79 time=15 8.0859375
control_change channel=0 control=64 value=77 time=15 8.10546875
control_change channel=0 control=67 value=80 time=0 8.10546875
control_change channel=0 control=67 value=81 time=16 8.126302083333334
note_on channel=0 note=69 velocity=41 time=12 8.141927083333334
control_change channel=0 control=67 value=82 time=3 8.145833333333334
note_on channel=0 note=62 velocity=0 time=4 8.151041666666666
control_change channel=0 control=64 value=76 time=26 8.184895833333334
control_change channel=0 control=67 value=83 time=0 8.184895833333334
note_on channel=0 note=66 velocity=0 time=7 8.194010416666666
control_change channel=0 control=67 value=83 time=8 8.204427083333334
note_on channel=0 note=86 velocity=0 time=6 8.212239583333334
note_on channel=0 note=69 velocity=0 time=6 8.220052083333334
control_change channel=0 control=64 value=76 time=3 8.223958333333334
control_change channel=0 control=67 value=84 time=0 8.223958333333334
note_on channel=0 note=81 velocity=68 time=24 8.255208333333334
control_change channel=0 control=64 value=75 time=6 8.263020833333334
control_change channel=0 control=67 value=84 time=0 8.263020833333334
control_change channel=0 control=64 value=74 time=16 8.283854166666666
control_change channel=0 control=64 value=73 time=22 8.3125
control_change channel=0 control=67 value=85 time=0 8.3125
control_change channel=0 control=64 value=70 time=16 8.333333333333334
control_change channel=0 control=67 value=86 time=0 8.333333333333334
control_change channel=0 control=64 value=65 time=15 8.352864583333334
control_change channel=0 control=67 value=86 time=0 8.352864583333334
control_change channel=0 control=64 value=56 time=15 8.372395833333334
control_change channel=0 control=67 value=87 time=0 8.372395833333334
note_on channel=0 note=81 velocity=0 time=8 8.3828125
control_change channel=0 control=64 value=38 time=8 8.393229166666666
note_on channel=0 note=66 velocity=33 time=0 8.393229166666666
note_on channel=0 note=78 velocity=61 time=6 8.401041666666666
note_on channel=0 note=62 velocity=26 time=3 8.404947916666666
control_change channel=0 control=64 value=0 time=5 8.411458333333334
control_change channel=0 control=67 value=88 time=0 8.411458333333334
control_change channel=0 control=67 value=89 time=15 8.430989583333334
control_change channel=0 control=67 value=90 time=16 8.451822916666666
control_change channel=0 control=67 value=91 time=15 8.471354166666666
control_change channel=0 control=67 value=93 time=16 8.4921875
control_change channel=0 control=67 value=93 time=14 8.510416666666666
control_change channel=0 control=67 value=95 time=15 8.529947916666666
control_change channel=0 control=64 value=32 time=16 8.55078125
control_change channel=0 control=67 value=96 time=0 8.55078125
control_change channel=0 control=64 value=53 time=15 8.5703125
control_change channel=0 control=67 value=97 time=0 8.5703125
control_change channel=0 control=64 value=62 time=16 8.591145833333334
control_change channel=0 control=67 value=98 time=0 8.591145833333334
control_change channel=0 control=64 value=65 time=14 8.609375
control_change channel=0 control=67 value=99 time=0 8.609375
note_on channel=0 note=66 velocity=0 time=6 8.6171875
control_change channel=0 control=64 value=67 time=9 8.62890625
control_change channel=0 control=67 value=101 time=0 8.62890625
note_on channel=0 note=69 velocity=38 time=3 8.6328125
control_change channel=0 control=64 value=69 time=13 8.649739583333334
control_change channel=0 control=67 value=102 time=0 8.649739583333334
control_change channel=0 control=64 value=69 time=15 8.669270833333334
control_change channel=0 control=67 value=103 time=0 8.669270833333334
control_change channel=0 control=64 value=70 time=14 8.6875
control_change channel=0 control=67 value=104 time=0 8.6875
control_change channel=0 control=67 value=104 time=16 8.708333333333334
control_change channel=0 control=67 value=105 time=31 8.748697916666666
control_change channel=0 control=67 value=105 time=15 8.768229166666666
note_on channel=0 note=69 velocity=0 time=2 8.770833333333334
control_change channel=0 control=67 value=106 time=12 8.786458333333334
control_change channel=0 control=64 value=70 time=16 8.807291666666666
control_change channel=0 control=67 value=106 time=15 8.826822916666666
control_change channel=0 control=64 value=71 time=15 8.846354166666666
note_on channel=0 note=66 velocity=40 time=5 8.852864583333334
control_change channel=0 control=64 value=71 time=11 8.8671875
control_change channel=0 control=64 value=72 time=15 8.88671875
control_change channel=0 control=64 value=73 time=16 8.907552083333334
control_change channel=0 control=64 value=74 time=15 8.927083333333334
control_change channel=0 control=64 value=75 time=14 8.9453125
control_change channel=0 control=67 value=107 time=0 8.9453125
control_change channel=0 control=64 value=76 time=16 8.966145833333334
control_change channel=0 control=64 value=77 time=15 8.985677083333334
control_change channel=0 control=64 value=78 time=15 9.005208333333334
note_on channel=0 note=66 velocity=0 time=3 9.009114583333334
note_on channel=0 note=69 velocity=42 time=36 9.055989583333334
control_change channel=0 control=64 value=77 time=114 9.204427083333334
note_on channel=0 note=69 velocity=0 time=0 9.204427083333334
note_on channel=0 note=78 velocity=0 time=36 9.251302083333334
note_on channel=0 note=81 velocity=68 time=7 9.260416666666666
note_on channel=0 note=66 velocity=45 time=16 9.28125
control_change channel=0 control=67 value=107 time=2 9.283854166666666
control_change channel=0 control=64 value=77 time=38 9.333333333333334
control_change channel=0 control=67 value=108 time=76 9.432291666666666
control_change channel=0 control=64 value=76 time=46 9.4921875
note_on channel=0 note=62 velocity=0 time=7 9.501302083333334
note_on channel=0 note=69 velocity=43 time=2 9.50390625
note_on channel=0 note=66 velocity=0 time=3 9.5078125
control_change channel=0 control=67 value=108 time=2 9.510416666666666
note_on channel=0 note=69 velocity=0 time=41 9.563802083333334
control_change channel=0 control=64 value=76 time=5 9.5703125
control_change channel=0 control=67 value=109 time=0 9.5703125
control_change channel=0 control=64 value=75 time=30 9.609375
note_on channel=0 note=81 velocity=0 time=6 9.6171875
note_on channel=0 note=78 velocity=62 time=7 9.626302083333334
control_change channel=0 control=64 value=75 time=2 9.62890625
control_change channel=0 control=64 value=74 time=16 9.649739583333334
control_change channel=0 control=64 value=71 time=15 9.669270833333334
control_change channel=0 control=64 value=67 time=16 9.690104166666666
control_change channel=0 control=64 value=61 time=15 9.709635416666666
note_on channel=0 note=78 velocity=0 time=10 9.72265625
control_change channel=0 control=64 value=44 time=5 9.729166666666666
control_change channel=0 control=64 value=0 time=16 9.75
control_change channel=0 control=67 value=109 time=0 9.75
note_on channel=0 note=57 velocity=41 time=4 9.755208333333334
note_on channel=0 note=74 velocity=66 time=0 9.755208333333334
note_on channel=0 note=66 velocity=42 time=9 9.766927083333334
control_change channel=0 control=67 value=110 time=17 9.7890625
note_on channel=0 note=74 velocity=0 time=25 9.821614583333334
control_change channel=0 control=67 value=110 time=5 9.828125
control_change channel=0 control=64 value=38 time=16 9.848958333333334
control_change channel=0 control=67 value=111 time=0 9.848958333333334
control_change channel=0 control=64 value=57 time=15 9.868489583333334
control_change channel=0 control=67 value=112 time=0 9.868489583333334
control_change channel=0 control=64 value=64 time=14 9.88671875
control_change channel=0 control=67 value=113 time=0 9.88671875
control_change channel=0 control=64 value=66 time=16 9.907552083333334
control_change channel=0 control=64 value=68 time=15 9.927083333333334
control_change channel=0 control=67 value=113 time=0 9.927083333333334
control_change channel=0 control=67 value=114 time=16 9.947916666666666
control_change channel=0 control=67 value=114 time=15 9.967447916666666
note_on channel=0 note=66 velocity=0 time=0 9.967447916666666
control_change channel=0 control=67 value=115 time=14 9.985677083333334
note_on channel=0 note=69 velocity=50 time=15 10.005208333333334
control_change channel=0 control=64 value=68 time=1 10.006510416666666
note_on channel=0 note=69 velocity=0 time=84 10.115885416666666
note_on channel=0 note=74 velocity=74 time=74 10.212239583333334
note_on channel=0 note=66 velocity=45 time=21 10.239583333333334
note_on channel=0 note=74 velocity=0 time=3 10.243489583333334
control_change channel=0 control=64 value=69 time=1 10.244791666666666
control_change channel=0 control=67 value=115 time=16 10.265625
control_change channel=0 control=67 value=116 time=38 10.315104166666666
note_on channel=0 note=57 velocity=0 time=50 10.380208333333334
control_change channel=0 control=67 value=116 time=26 10.4140625
note_on channel=0 note=66 velocity=0 time=7 10.423177083333334
note_on channel=0 note=69 velocity=49 time=15 10.442708333333334
control_change channel=0 control=67 value=117 time=7 10.451822916666666
control_change channel=0 control=67 value=117 time=16 10.47265625
control_change channel=0 control=67 value=118 time=15 10.4921875
control_change channel=0 control=64 value=68 time=45 10.55078125
control_change channel=0 control=64 value=67 time=16 10.571614583333334
note_on channel=0 note=78 velocity=70 time=13 10.588541666666666
control_change channel=0 control=64 value=66 time=2 10.591145833333334
note_on channel=0 note=69 velocity=0 time=9 10.602864583333334
control_change channel=0 control=64 value=63 time=5 10.609375
control_change channel=0 control=67 value=119 time=0 10.609375
control_change channel=0 control=64 value=58 time=16 10.630208333333334
control_change channel=0 control=67 value=120 time=0 10.630208333333334
note_on channel=0 note=78 velocity=0 time=6 10.638020833333334
control_change channel=0 control=64 value=50 time=9 10.649739583333334
control_change channel=0 control=67 value=121 time=0 10.649739583333334
control_change channel=0 control=64 value=40 time=15 10.669270833333334
control_change channel=0 control=67 value=123 time=0 10.669270833333334
note_on channel=0 note=76 velocity=54 time=0 10.669270833333334
note_on channel=0 note=67 velocity=41 time=7 10.678385416666666
control_change channel=0 control=64 value=29 time=9 10.690104166666666
control_change channel=0 control=67 value=125 time=0 10.690104166666666
note_on channel=0 note=61 velocity=36 time=2 10.692708333333334
note_on channel=0 note=76 velocity=0 time=4 10.697916666666666
control_change channel=0 control=64 value=21 time=8 10.708333333333334
control_change channel=0 control=67 value=127 time=0 10.708333333333334
note_on channel=0 note=78 velocity=70 time=4 10.713541666666666
control_change channel=0 control=64 value=0 time=12 10.729166666666666
note_on channel=0 note=78 velocity=0 time=20 10.755208333333334
note_on channel=0 note=76 velocity=75 time=10 10.768229166666666
note_on channel=0 note=67 velocity=0 time=121 10.92578125
note_on channel=0 note=69 velocity=46 time=2 10.928385416666666
note_on channel=0 note=61 velocity=0 time=10 10.94140625
note_on channel=0 note=76 velocity=0 time=84 11.05078125
note_on channel=0 note=78 velocity=68 time=4 11.055989583333334
note_on channel=0 note=69 velocity=0 time=58 11.131510416666666
note_on channel=0 note=78 velocity=0 time=13 11.1484375
note_on channel=0 note=74 velocity=67 time=24 11.1796875
note_on channel=0 note=62 velocity=48 time=4 11.184895833333334
note_on channel=0 note=66 velocity=42 time=8 11.1953125
note_on channel=0 note=66 velocity=0 time=28 11.231770833333334
note_on channel=0 note=62 velocity=0 time=4 11.236979166666666
note_on channel=0 note=57 velocity=47 time=349 11.69140625
note_on channel=0 note=74 velocity=0 time=20 11.717447916666666
note_on channel=0 note=57 velocity=0 time=13 11.734375
note_on channel=0 note=50 velocity=34 time=416 12.276041666666666
note_on channel=0 note=50 velocity=0 time=66 12.361979166666666
control_change channel=0 control=64 value=12 time=220 12.6484375
control_change channel=0 control=64 value=18 time=16 12.669270833333334
control_change channel=0 control=64 value=22 time=15 12.688802083333334
control_change channel=0 control=64 value=27 time=15 12.708333333333334
control_change channel=0 control=64 value=32 time=15 12.727864583333334
control_change channel=0 control=64 value=39 time=15 12.747395833333334
control_change channel=0 control=64 value=45 time=16 12.768229166666666
control_change channel=0 control=64 value=50 time=15 12.787760416666666
control_change channel=0 control=64 value=54 time=15 12.807291666666666
control_change channel=0 control=64 value=57 time=16 12.828125
control_change channel=0 control=64 value=59 time=15 12.84765625
control_change channel=0 control=64 value=60 time=16 12.868489583333334
control_change channel=0 control=67 value=119 time=29 12.90625
control_change channel=0 control=67 value=113 time=16 12.927083333333334
control_change channel=0 control=67 value=107 time=15 12.946614583333334
control_change channel=0 control=67 value=105 time=16 12.967447916666666
control_change channel=0 control=67 value=104 time=14 12.985677083333334
note_on channel=0 note=62 velocity=28 time=9 12.997395833333334
note_on channel=0 note=66 velocity=27 time=4 13.002604166666666
control_change channel=0 control=64 value=59 time=48 13.065104166666666
note_on channel=0 note=81 velocity=59 time=17 13.087239583333334
control_change channel=0 control=67 value=105 time=29 13.125
control_change channel=0 control=64 value=60 time=30 13.1640625
control_change channel=0 control=64 value=60 time=15 13.18359375
control_change channel=0 control=67 value=105 time=0 13.18359375
control_change channel=0 control=64 value=61 time=15 13.203125
control_change channel=0 control=67 value=106 time=0 13.203125
control_change channel=0 control=64 value=62 time=15 13.22265625
control_change channel=0 control=67 value=106 time=0 13.22265625
control_change channel=0 control=64 value=63 time=16 13.243489583333334
control_change channel=0 control=64 value=64 time=14 13.26171875
control_change channel=0 control=67 value=107 time=0 13.26171875
control_change channel=0 control=64 value=65 time=16 13.282552083333334
control_change channel=0 control=64 value=67 time=23 13.3125
control_change channel=0 control=67 value=107 time=0 13.3125
control_change channel=0 control=64 value=68 time=16 13.333333333333334
control_change channel=0 control=64 value=69 time=14 13.3515625
control_change channel=0 control=67 value=108 time=0 13.3515625
control_change channel=0 control=64 value=70 time=15 13.37109375
control_change channel=0 control=67 value=109 time=17 13.393229166666666
note_on channel=0 note=69 velocity=38 time=6 13.401041666666666
note_on channel=0 note=66 velocity=0 time=11 13.415364583333334
control_change channel=0 control=67 value=109 time=13 13.432291666666666
control_change channel=0 control=67 value=109 time=91 13.55078125
note_on channel=0 note=69 velocity=0 time=28 13.587239583333334
control_change channel=0 control=67 value=108 time=33 13.630208333333334
note_on channel=0 note=66 velocity=24 time=26 13.6640625
control_change channel=0 control=67 value=108 time=4 13.669270833333334
control_change channel=0 control=67 value=107 time=31 13.709635416666666
note_on channel=0 note=66 velocity=0 time=102 13.842447916666666
control_change channel=0 control=64 value=69 time=3 13.846354166666666
control_change channel=0 control=67 value=107 time=16 13.8671875
note_on channel=0 note=69 velocity=36 time=6 13.875
control_change channel=0 control=67 value=106 time=85 13.985677083333334
note_on channel=0 note=69 velocity=0 time=48 14.048177083333334
note_on channel=0 note=81 velocity=0 time=12 14.063802083333334
note_on channel=0 note=86 velocity=63 time=36 14.110677083333334
